date,CEF.TO,CGL-C.TO,HDIV.TO,TEC.TO,VAB.TO,VBAL.TO,VCN.TO,VDY.TO,VEE.TO,VEQT.TO,VFV.TO,VGRO.TO,VIU.TO,VRE.TO,VUN.TO,XBAL.TO,XBB.TO,XEC.TO,XEF.TO,XEI.TO,XEQT.TO,XGD.TO,XGRO.TO,XIC.TO,XQQ.TO,XRE.TO,XUS.TO,XUU.TO,ZAG.TO,ZBAL.TO,ZCN.TO,ZDV.TO,ZEA.TO,ZEM.TO,ZEQT.TO,ZGRO.TO,ZQQ.TO,ZRE.TO,ZSP.TO,ZWC.TO,ZWU.TO
2015-07-27,,12.699999809265137,,,19.164175033569336,,21.358369827270508,18.28190803527832,22.85877799987793,,41.27482604980469,,,18.53158187866211,33.28787612915039,16.174327850341797,23.29085922241211,17.936742782592773,21.433063507080078,11.415969848632812,,6.8645501136779785,14.2391939163208,16.355533599853516,12.622512817382812,9.457090377807617,14.458938598632812,18.14373016357422,11.394195556640625,,13.548295021057129,10.42418384552002,13.248106002807617,13.022811889648438,,,34.23137664794922,11.076831817626953,25.59674644470215,,6.305985450744629
2015-07-28,,12.579999923706055,,,19.06911849975586,,21.358369827270508,18.455171585083008,22.88985824584961,,41.43001937866211,,,18.61336326599121,33.28787612915039,16.212568283081055,23.225444793701172,17.936742782592773,21.433063507080078,11.529594421386719,,6.892084121704102,14.2391939163208,16.47362518310547,12.730425834655762,9.49344253540039,14.458938598632812,18.14373016357422,11.366647720336914,,13.662991523742676,10.48413372039795,13.248106002807617,13.030588150024414,,,34.574283599853516,11.128589630126953,25.699993133544922,,6.3319783210754395
2015-07-29,,12.649999618530273,,,19.05225372314453,,21.0585994720459,18.78399658203125,23.19287872314453,,41.792152404785156,,,18.897968292236328,33.03450393676758,16.289043426513672,23.160057067871094,17.569887161254883,21.250526428222656,11.679094314575195,,7.048095703125,14.308204650878906,16.73195457458496,12.781013488769531,9.644906044006348,14.347883224487305,17.877031326293945,11.331323623657227,,13.842196464538574,10.643999099731445,13.136215209960938,13.131656646728516,,,34.77022171020508,11.328572273254395,25.91509246826172,,6.367825508117676
2015-07-30,,12.569999694824219,,,19.059593200683594,,21.230968475341797,18.92555809020996,23.099637985229492,,42.007720947265625,,,18.706867218017578,33.18302536010742,16.357868194580078,23.225444793701172,17.593303680419922,21.35700798034668,11.7568359375,,6.855374336242676,14.499898910522461,16.83527374267578,12.865318298339844,9.535855293273926,14.42049503326416,17.920047760009766,11.366647720336914,,13.942556381225586,10.717259407043457,13.180974006652832,13.116110801696777,,,34.90738296508789,11.140353202819824,26.03554916381836,,6.37678861618042
2015-07-31,,12.65999984741211,,,19.140235900878906,,21.82301139831543,18.964187622070312,23.394893646240234,,42.09394454956055,,,18.973041534423828,33.750938415527344,16.396106719970703,23.341724395751953,17.78843879699707,21.66884422302246,11.822610855102539,,7.0389180183410645,14.499898910522461,16.938602447509766,12.834967613220215,9.675191879272461,14.651153564453125,18.10071563720703,11.387840270996094,,14.035744667053223,10.770546913146973,13.218266487121582,13.302704811096191,,,34.82900619506836,11.316808700561523,26.08717155456543,,6.426081657409668
2015-08-04,,12.800000190734863,,,19.1915340423584,,21.82301139831543,18.970613479614258,23.301660537719727,,42.22325897216797,,,19.02762794494629,33.750938415527344,16.403749465942383,23.341724395751953,17.897714614868164,21.66884422302246,11.726937294006348,,6.8737287521362305,14.576580047607422,16.96074104309082,12.754033088684082,9.687310218811035,14.651153564453125,18.289976119995117,11.430228233337402,,14.057257652282715,10.757223129272461,13.41967487335205,13.186081886291504,,,34.62326431274414,11.328572273254395,26.16460609436035,,6.354382038116455
2015-08-05,,12.720000267028809,,,19.132888793945312,,21.875469207763672,18.95131492614746,23.3482723236084,,42.41295623779297,,,18.911605834960938,34.004302978515625,16.365516662597656,23.24725914001465,17.88990592956543,22.0111026763916,11.68507194519043,,6.772780895233154,14.584245681762695,16.968130111694336,12.87880802154541,9.566143035888672,14.775028228759766,18.289976119995117,11.401971817016602,,14.071590423583984,10.750563621520996,13.591243743896484,13.248282432556152,,,34.9661750793457,11.246231079101562,26.293663024902344,,6.309571743011475
2015-08-06,,12.770000457763672,,,19.16221809387207,,21.710599899291992,18.92555809020996,23.02971076965332,,41.852500915527344,,,18.638612747192383,33.523773193359375,16.296689987182617,23.31265640258789,17.647939682006836,21.798139572143555,11.667135238647461,,6.910437107086182,14.584245681762695,16.864803314208984,12.666353225708008,9.438920021057129,14.557182312011719,18.178138732910156,11.401971817016602,,13.971232414245605,10.683953285217285,13.47188949584961,13.08500862121582,,,34.3685417175293,11.099188804626465,25.940898895263672,,6.2916460037231445
2015-08-07,,12.770000457763672,,,19.1915340423584,,21.568206787109375,18.67461395263672,23.060791015625,,41.78353500366211,,,18.836544036865234,33.48882293701172,16.327272415161133,23.348989486694336,17.686967849731445,21.820955276489258,11.517638206481934,,6.9379706382751465,14.476893424987793,16.73932647705078,12.639376640319824,9.535855293273926,14.53582763671875,18.083507537841797,11.423161506652832,,13.849370002746582,10.597365379333496,13.456972122192383,13.053912162780762,,,34.309757232666016,11.22270393371582,25.91509246826172,,6.2602763175964355
2015-08-10,,12.869999885559082,,,19.11823272705078,,21.82301139831543,18.970613479614258,23.2161922454834,,41.8956184387207,,,18.802419662475586,33.56745529174805,16.311975479125977,23.261783599853516,17.780635833740234,21.851381301879883,11.691058158874512,,7.314233303070068,14.561248779296875,16.938602447509766,12.791131019592285,9.511617660522461,14.57853889465332,18.25557518005371,11.387840270996094,,14.042913436889648,10.723922729492188,13.49427318572998,13.201632499694824,,,34.7016487121582,11.146239280700684,25.97532081604004,,6.3230156898498535
