data_source,ticker,name,category,mer,benchmark,latest_nav,as_of,volatility,max_drawdown,current_drawdown,sharpe,sortino,positive_months,history_years,return_1w,return_1m,return_3m,return_6m,return_1y,return_ytd,return_3y_annualized,return_5y_annualized,return_10y_annualized,momentum_score,risk_score,cost_score,quality_score,overall_score,signal,category_rank
Yahoo Finance,ZEQT.TO,BMO All-Equity ETF,All Equity,0.2,VEQT.TO,22.899999618530273,2026-07-24,13.340024239119403,-16.148983017998297,-2.511707783468431,1.0473490327935293,1.4291543455450042,62.264150943396224,4.4517453798767965,0.08741459133427831,-0.3740021692325013,5.869834068528568,9.585749593235903,24.320614821000785,12.089651966629834,20.692242772528168,,,80.0,100.0,83.33333333333334,33.33333333333333,82.83333333333333,Strong trend,1
Yahoo Finance,XEQT.TO,iShares Core Equity ETF Portfolio,All Equity,0.2,VEQT.TO,44.459999084472656,2026-07-24,15.523719291565854,-29.74291479898341,-2.3929751280896694,0.9509112466750822,1.1548796127344019,68.67469879518072,6.9431895961670085,-0.04496505838468279,-0.21994564840047692,5.790899144245287,9.072660003784572,23.33708902838614,11.761459653747153,20.512414869095096,12.805030613322765,,46.66666666666666,66.66666666666666,83.33333333333334,88.33333333333333,63.33333333333333,Strong trend,2
Yahoo Finance,VEQT.TO,Vanguard All-Equity ETF Portfolio,All Equity,0.22,VEQT.TO,60.5,2026-07-24,15.742234928525475,-30.45378544216377,-2.4193548387096753,0.9079336153571383,1.0603377811236339,67.41573033707866,7.4633812457221085,0.08271172279488148,-0.3459052670721663,5.62151063080496,9.1466708766206,24.471649065825662,11.80927613670364,20.7063911023986,12.959321172164294,,73.33333333333333,33.33333333333333,33.333333333333336,78.33333333333333,53.833333333333336,Strong trend,3
Yahoo Finance,ZBAL.TO,BMO Balanced ETF,Balanced,0.2,VBAL.TO,15.850000381469727,2026-07-24,10.130645182729417,-20.7541451629099,-3.297398060656642,0.8846541614307049,1.03012491362347,66.29213483146067,7.436002737850787,-0.3771179542289116,-0.979898000524293,3.0951374868153136,5.354757332487448,14.807358726774122,6.942481625537722,13.399142025689104,7.716829908990275,,86.66666666666666,86.66666666666667,83.33333333333334,76.66666666666666,85.16666666666667,Strong trend,1
Yahoo Finance,XBAL.TO,iShares Core Balanced ETF Portfolio,Balanced,0.2,VBAL.TO,35.38999938964844,2026-07-24,9.317473111796739,-20.928301626246892,-3.3681907172060543,0.8145004096364018,0.9209087116265802,64.39393939393939,10.992470910335387,-0.4220639336375842,-0.7877604591367771,3.262299251406775,5.267591515800274,13.828988596888102,7.060324280309915,13.442441008154127,7.391229026754043,7.367043706634768,63.33333333333333,73.33333333333331,83.33333333333334,56.666666666666664,69.16666666666666,Strong trend,2
Yahoo Finance,VBAL.TO,Vanguard Balanced ETF Portfolio,Balanced,0.24,VBAL.TO,39.130001068115234,2026-07-24,10.074301516245155,-21.18676448591742,-2.248308115480413,0.7793521179113829,0.8874798904842708,65.34653465346535,8.473648186173854,-0.33111884609192677,-0.9402936515209959,3.001346447768749,5.1852820311678816,14.13210677911243,7.035626038249321,12.930616617540892,7.13870702971251,,49.99999999999999,40.0,33.333333333333336,66.66666666666666,45.666666666666664,Strong trend,3
Yahoo Finance,XBB.TO,iShares Core Canadian Universe Bond Index,Bonds,0.1,ZAG.TO,27.81999969482422,2026-07-24,6.505284031924968,-18.161059754325926,-2.3675335540875975,0.28219347484656526,0.33526897071129286,59.09090909090909,10.992470910335387,-0.5007131410322052,-1.5883168709902584,-0.3173564364663872,-0.001179223939018481,3.317645993799534,0.9260538089906678,4.261349147552584,0.1939105164245447,1.4222379163156162,90.0,78.33333333333333,33.333333333333336,88.33333333333333,77.24999999999999,Weakening,1
Yahoo Finance,ZAG.TO,BMO Aggregate Bond Index,Bonds,0.09,ZAG.TO,13.619999885559082,2026-07-24,6.895424633276134,-18.033220888497294,-2.5530816205675544,0.27109730375186264,0.30520018776092817,56.060606060606055,10.992470910335387,-0.5113199194287987,-1.6673497998143327,-0.3332668032626773,-0.0005881657274553476,3.3129342155034935,0.8734033439448119,4.160621990683655,0.14125024077860093,1.38635745739486,73.33333333333333,50.0,83.33333333333334,44.99999999999999,63.83333333333333,Weakening,2
Yahoo Finance,VAB.TO,Vanguard Canadian Aggregate Bond Index,Bonds,0.09,ZAG.TO,22.68000030517578,2026-07-24,6.312782019976589,-18.393820981981612,-3.0310137442262075,0.2753182332308175,0.34912199427372376,56.81818181818182,10.992470910335387,-0.569921805393736,-1.656274186150264,-0.3860789090133543,-0.0021949164893175777,3.1841528133716324,0.7838198721281442,4.09101955837099,0.12836425371269833,1.3061659669795445,36.66666666666666,71.66666666666666,83.33333333333334,66.66666666666666,58.91666666666666,Weakening,3
Yahoo Finance,ZCN.TO,BMO S&P TSX Capped Composite,Canada Equity,0.06,XIC.TO,47.099998474121094,2026-07-24,15.060788239109712,-37.180561283949174,-0.7794454119808614,0.8316597148399569,0.9400323122800808,68.18181818181817,10.992470910335387,-0.14839876519288087,1.5548851203411207,4.283889082726966,7.369252938658222,31.32121330469724,11.649922770911502,22.844912197577738,14.919851121513993,12.412079483726824,80.0,93.33333333333334,49.99999999999999,77.5,79.91666666666667,Strong trend,1
Yahoo Finance,XIC.TO,iShares Core S&P TSX Capped Composite,Canada Equity,0.06,XIC.TO,56.189998626708984,2026-07-24,15.045058800165318,-37.2117524054843,-0.7769776321865374,0.8251668357434404,0.9364779298470608,68.18181818181817,10.992470910335387,-0.1953829695243603,1.5011063235122801,4.351310654730511,7.360591451981269,31.399196932457542,11.645720846568475,22.892832570020772,14.637487978774622,12.293896751061029,76.66666666666666,73.33333333333331,49.99999999999999,77.5,71.58333333333331,Strong trend,2
Yahoo Finance,VCN.TO,Vanguard FTSE Canada All Cap,Canada Equity,0.05,XIC.TO,71.48999786376953,2026-07-24,15.14458328752191,-37.320431046686394,-0.8872860308033803,0.805010382615211,0.9090723941164195,67.42424242424242,10.992470910335387,-0.2093823662156269,1.4906237733831595,4.173146218261681,7.361687715446075,29.88434194531193,11.36746363840464,22.620578785245282,14.876105717518806,12.264304259221714,43.33333333333333,33.33333333333333,100.0,44.99999999999999,48.5,Strong trend,3
Yahoo Finance,VDY.TO,Vanguard FTSE Canadian High Dividend Yield,Canadian Dividend,0.22,VDY.TO,78.29000091552734,2026-07-24,16.026731410481272,-39.21125860183692,-0.6887969077884915,0.9096497683785544,1.016125466737545,65.15151515151516,10.992470910335387,-0.6345982919026216,3.8594047593262903,14.024311106784948,25.550044681877758,51.009209954137845,27.723735789953395,27.5559436217383,19.181962823928078,14.595626745502365,96.66666666666666,93.33333333333334,83.33333333333334,44.99999999999999,88.33333333333334,Strong trend,1
Yahoo Finance,XEI.TO,iShares S&P TSX Composite High Dividend Index,Canadian Dividend,0.22,VDY.TO,40.58000183105469,2026-07-24,16.119054573720145,-45.514191886248625,-0.17220096481338487,0.8004920600698529,0.8429194617965977,69.6969696969697,10.992470910335387,-0.049252817285583284,3.8834757094416084,10.596523183799667,23.35382001513484,41.74783038742789,26.796075423480836,22.747835278071737,16.44091799271341,12.249885552256856,70.0,51.66666666666666,83.33333333333334,88.33333333333333,67.41666666666666,High risk,2
Yahoo Finance,ZDV.TO,BMO Canadian Dividend,Canadian Dividend,0.39,VDY.TO,33.16999816894531,2026-07-24,15.195751705944199,-43.19602323185955,-0.3005779604521308,0.772798238825716,0.8102281347348801,68.18181818181817,10.992470910335387,0.2114794503055517,3.05961559864083,9.281096647165409,17.51798334846235,31.990063839429418,22.300688417441595,21.15706102481216,14.889193442020332,11.383369570450386,33.33333333333333,54.99999999999999,33.333333333333336,66.66666666666666,44.24999999999999,High risk,3
